UTM Bands,UTM Easting,UTM Northing
12S 621367 3768751,621367,3768751
12S 633998 3776428,633998,3776428
12S 632614 3776448,632614,3776448
12S 631318 3776760,631318,3776760
12S 628565 3775723,628565,3775723
12S 627085 3776063,627085,3776063
12S 626059 3776888,626059,3776888
12S 625542 3774143,625542,3774143
12S 628299 3774920,628299,3774920
12S 628214 3774439,628214,3774439
12S 628775 3773887,628775,3773887
12S 629222 3774952,629222,3774952
12S 631339 3775281,631339,3775281
12S 632918 3774532,632918,3774532
12S 633206 3773696,633206,3773696
12S 633502 3772380,633502,3772380
12S 632285 3773615,632285,3773615
12S 632936 3773252,632936,3773252
12S 630630 3773152,630630,3773152
12S 628423 3772602,628423,3772602
12S 626632 3772674,626632,3772674
12S 626473 3771418,626473,3771418
12S 629251 3772110,629251,3772110
12S 631945 3771531,631945,3771531
12S 633153 3770934,633153,3770934
12S 633717 3770222,633717,3770222
12S 634366 3770031,634366,3770031
12S 633449 3769578,633449,3769578
12S 630863 3769677,630863,3769677
12S 629283 3770495,629283,3770495
12S 625877 3769809,625877,3769809
12S 627215 3768423,627215,3768423
12S 627616 3768129,627616,3768129
12S 632353 3768762,632353,3768762
12S 632368 3767662,632368,3767662
12S 642493 3775932,642493,3775932
12S 643496 3776708,643496,3776708
12S 641846 3775963,641846,3775963
12S 641846 3775963,641846,3775963
12S 640819 3776788,640819,3776788
12S 638794 3776517,638794,3776517
12S 635652 3776892,635652,3776892
12S 635691 3774191,635691,3774191
12S 636782 3775268,636782,3775268
12S 642153 3773967,642153,3773967
12S 642153 3773967,642153,3773967
12S 641694 3773840,641694,3773840
12S 641694 3773840,641694,3773840
12S 640321 3773059,640321,3773059
12S 639497 3772606,639497,3772606
12S 638671 3772334,638671,3772334
12S 636916 3772449,636916,3772449
12S 635072 3772322,635072,3772322
12S 635239 3773525,635239,3773525
12S 635731 3771371,635731,3771371
12S 637956 3770703,637956,3770703
12S 640991 3771448,640991,3771448
12S 642385 3770809,642385,3770809
12S 636389 3770580,636389,3770580
12S 635668 3769370,635668,3769370
12S 637447 3767675,637447,3767675
12S 637804 3768480,637804,3768480
12S 638458 3767930,638458,3767930
12S 650059 3775850,650059,3775850
12S 650059 3775850,650059,3775850
12S 647384 3775808,647384,3775808
12S 644512 3776623,644512,3776623
12S 644987 3775690,644987,3775690
12S 645200 3773853,645200,3773853
12S 644466 3773602,644466,3773602
12S 604930 3785811,604930,3785811
12S 605759 3785861,605759,3785861
12S 602454 3784746,602454,3784746
12S 599587 3785713,599587,3785713
12S 600416 3785782,600416,3785782
12S 599227 3784871,599227,3784871
12S 597565 3785233,597565,3785233
12S 597305 3783653,597305,3783653
12S 599152 3783253,599152,3783253
12S 603754 3783842,603754,3783842
12S 604321 3782571,604321,3782571
12S 598155 3781666,598155,3781666
12S 597690 3782060,597690,3782060
12S 605189 3779107,605189,3779107
12S 602877 3779800,602877,3779800
12S 600945 3779340,600945,3779340
12S 599744 3779567,599744,3779567
12S 596985 3778979,596985,3778979
12S 602995 3777406,602995,3777406
12S 605479 3777973,605479,3777973
12S 605111 3777849,605111,3777849
12S 614419 3785995,614419,3785995
12S 612756 3786295,612756,3786295
12S 613690 3785267,613690,3785267
12S 610926 3785261,610926,3785261
12S 610002 3785490,610002,3785490
12S 610484 3785225,610484,3785225
12S 607598 3786161,607598,3786161
12S 608446 3784514,608446,3784514
12S 608454 3783875,608454,3783875
12S 609191 3783844,609191,3783844
12S 610105 3784533,610105,3784533
12S 610754 3784182,610754,3784182
12S 609837 3783851,609837,3783851
12S 612775 3784776,612775,3784776
12S 614082 3783353,614082,3783353
12S 614903 3784042,614903,3784042
12S 614459 3782677,614459,3782677
12S 613167 3782822,613167,3782822
12S 613352 3782744,613352,3782744
12S 610126 3782737,610126,3782737
12S 609392 3782449,609392,3782449
12S 608187 3782994,608187,3782994
12S 608008 3782613,608008,3782613
12S 609108 3783084,609108,3783084
12S 606901 3782680,606901,3782680
12S 606826 3781142,606826,3781142
12S 606365 3781177,606365,3781177
12S 609774 3781316,609774,3781316
12S 611346 3780921,611346,3780921
12S 612085 3780790,612085,3780790
12S 613564 3780468,613564,3780468
12S 614859 3780124,614859,3780124
12S 614308 3779897,614308,3779897
12S 614323 3778658,614323,3778658
12S 611823 3779587,611823,3779587
12S 612563 3779396,612563,3779396
12S 606940 3779187,606940,3779187
12S 606210 3778560,606210,3778560
12S 607889 3776902,607889,3776902
12S 611110 3777480,611110,3777480
12S 611748 3778107,611748,3778107
12S 612428 3777551,612428,3777551
12S 612863 3777441,612863,3777441
12S 613600 3777450,613600,3777450
12S 613146 3776884,613146,3776884
12S 624733 3786427,624733,3786427
12S 617749 3784917,617749,3784917
12S 616271 3785259,616271,3785259
12S 616184 3784778,616184,3784778
12S 624489 3783964,624489,3783964
12S 625406 3784337,625406,3784337
12S 622857 3781904,622857,3781904
12S 623867 3782197,623867,3782197
12S 623212 3782948,623212,3782948
12S 620184 3781869,620184,3781869
12S 619618 3782902,619618,3782902
12S 618973 3782854,618973,3782854
12S 618915 3780214,618915,3780214
12S 619919 3780986,619919,3780986
12S 621404 3780246,621404,3780246
12S 622770 3781503,622770,3781503
12S 624539 3780187,624539,3780187
12S 624539 3780187,624539,3780187
12S 624539 3780187,624539,3780187
12S 624539 3780187,624539,3780187
12S 625381 3779318,625381,3779318
12S 622986 3779107,622986,3779107
12S 622062 3779275,622062,3779275
12S 621418 3779106,621418,3779106
12S 620409 3778694,620409,3778694
12S 619488 3778642,619488,3778642
12S 618746 3778952,618746,3778952
12S 616707 3779786,616707,3779786
12S 616266 3778142,616266,3778142
12S 618110 3778185,618110,3778185
12S 620700 3777618,620700,3777618
12S 621523 3778168,621523,3778168
12S 622275 3777039,622275,3777039
12S 624751 3778151,624751,3778151
12S 624118 3777183,624118,3777183
12S 635160 3785468,635160,3785468
12S 632842 3786395,632842,3786395
12S 631189 3786055,631189,3786055
12S 627783 3785748,627783,3785748
12S 627524 3784505,627524,3784505
12S 629652 3783874,629652,3783874
12S 631764 3784424,631764,3784424
12S 633521 3784024,633521,3784024
12S 634377 3782215,634377,3782215
12S 631786 3782905,631786,3782905
12S 630337 3781005,630337,3781005
12S 631267 3780458,631267,3780458
12S 633096 3781517,633096,3781517
12S 634386 3781535,634386,3781535
12S 634145 3779091,634145,3779091
12S 632861 3778573,632861,3778573
12S 628324 3779878,628324,3779878
12S 626671 3779376,626671,3779376
12S 627158 3777423,627158,3777423
12S 629091 3777749,629091,3777749
12S 633339 3777339,633339,3777339
12S 633882 3778107,633882,3778107
12S 634712 3778119,634712,3778119
12S 643812 3786196,643812,3786196
12S 644270 3786324,644270,3786324
12S 644731 3786371,644731,3786371
12S 642621 3785738,642621,3785738
12S 642621 3785738,642621,3785738
12S 641700 3785684,641700,3785684
12S 637912 3786308,637912,3786308
12S 636464 3784486,636464,3784486
